标题,个人评分,打分日期,条目链接,评论
"无间道2 / 無間道II","","2021-07-04","https://movie.douban.com/subject/1307106/","",
"源代码 / Source Code","","2021-07-04","https://movie.douban.com/subject/3075287/","",
"遗愿清单 / The Bucket List","","2021-07-04","https://movie.douban.com/subject/1867345/","",
"恐怖游轮 / Triangle","","2021-07-04","https://movie.douban.com/subject/3011051/","",
"雨人 / Rain Man","","2021-07-04","https://movie.douban.com/subject/1291870/","",
"爆裂鼓手 / Whiplash","","2021-07-04","https://movie.douban.com/subject/25773932/","",
"寄生虫 / 기생충","","2021-07-04","https://movie.douban.com/subject/27010768/","",
"黑客帝国3：矩阵革命 / The Matrix Revolutions","","2021-07-04","https://movie.douban.com/subject/1302467/","",
"疯狂原始人 / The Croods","","2021-07-04","https://movie.douban.com/subject/1907966/","",
"三块广告牌 / Three Billboards Outside Ebbing, Missouri","","2021-07-04","https://movie.douban.com/subject/26611804/","",
"头号玩家 / Ready Player One","","2021-07-04","https://movie.douban.com/subject/4920389/","",
"血战钢锯岭 / Hacksaw Ridge","","2021-07-04","https://movie.douban.com/subject/26325320/","",
"教父3 / The Godfather: Part III","","2021-07-04","https://movie.douban.com/subject/1294240/","",
"神偷奶爸 / Despicable Me","","2021-07-04","https://movie.douban.com/subject/3287562/","",
"恐怖直播 / 더 테러 라이브","","2021-07-04","https://movie.douban.com/subject/21360417/","",
"告白","","2021-07-04","https://movie.douban.com/subject/4268598/","",
"驯龙高手 / How to Train Your Dragon","","2021-07-04","https://movie.douban.com/subject/2353023/","",
"超能陆战队 / Big Hero 6","","2021-07-04","https://movie.douban.com/subject/11026735/","",
"功夫","","2021-07-04","https://movie.douban.com/subject/1291543/","",
"致命ID / Identity","","2021-07-04","https://movie.douban.com/subject/1297192/","",
"低俗小说 / Pulp Fiction","3","2021-07-04","https://movie.douban.com/subject/1291832/","",
"禁闭岛 / Shutter Island","","2021-07-04","https://movie.douban.com/subject/2334904/","",
"阿凡达 / Avatar","","2021-07-04","https://movie.douban.com/subject/1652587/","",
"拯救大兵瑞恩 / Saving Private Ryan","","2021-07-04","https://movie.douban.com/subject/1292849/","",
"看不见的客人 / Contratiempo","","2021-07-04","https://movie.douban.com/subject/26580232/","",
"情书 / Love Letter","","2021-07-04","https://movie.douban.com/subject/1292220/","",
"本杰明·巴顿奇事 / The Curious Case of Benjamin Button","","2021-07-04","https://movie.douban.com/subject/1485260/","",
"窃听风暴 / Das Leben der Anderen","","2021-07-04","https://movie.douban.com/subject/1900841/","",
"绿皮书 / Green Book","","2021-07-04","https://movie.douban.com/subject/27060077/","",
"黑客帝国 / The Matrix","","2021-07-04","https://movie.douban.com/subject/1291843/","",
"让子弹飞","","2021-07-04","https://movie.douban.com/subject/3742360/","",
"搏击俱乐部 / Fight Club","","2021-07-04","https://movie.douban.com/subject/1292000/","",
"教父2 / The Godfather: Part II","","2021-07-04","https://movie.douban.com/subject/1299131/","",
"猫鼠游戏 / Catch Me If You Can","","2021-07-04","https://movie.douban.com/subject/1305487/","",
"闻香识女人 / Scent of a Woman","4","2021-07-04","https://movie.douban.com/subject/1298624/","",
"我不是药神","","2021-07-04","https://movie.douban.com/subject/26752088/","",
"十二怒汉 / 12 Angry Men","","2021-07-04","https://movie.douban.com/subject/1293182/","",
"摔跤吧！爸爸 / Dangal","","2021-07-04","https://movie.douban.com/subject/26387939/","",
"飞屋环游记 / Up","","2021-07-04","https://movie.douban.com/subject/2129039/","",
"蝙蝠侠：黑暗骑士 / The Dark Knight","","2021-07-04","https://movie.douban.com/subject/1851857/","",
"触不可及 / Intouchables","","2021-07-04","https://movie.douban.com/subject/6786002/","",
"控方证人 / Witness for the Prosecution","","2021-07-04","https://movie.douban.com/subject/1296141/","",
"当幸福来敲门 / The Pursuit of Happyness","","2021-07-04","https://movie.douban.com/subject/1849031/","",
"教父 / The Godfather","5","2021-07-04","https://movie.douban.com/subject/1291841/","三小时嫌短了",
"熔炉 / 도가니","","2021-07-04","https://movie.douban.com/subject/5912992/","",
"疯狂动物城 / Zootopia","","2021-07-04","https://movie.douban.com/subject/25662329/","",
"无间道 / 無間道","","2021-07-04","https://movie.douban.com/subject/1307914/","",
"放牛班的春天 / Les choristes","","2021-07-04","https://movie.douban.com/subject/1291549/","",
"机器人总动员 / WALL·E","","2021-07-04","https://movie.douban.com/subject/2131459/","",
"三傻大闹宝莱坞 / 3 Idiots","","2021-07-04","https://movie.douban.com/subject/3793023/","",
"楚门的世界 / The Truman Show","5","2021-07-04","https://movie.douban.com/subject/1292064/","",
"盗梦空间 / Inception","","2021-07-04","https://movie.douban.com/subject/3541415/","",
"辛德勒的名单 / Schindler's List","","2021-07-04","https://movie.douban.com/subject/1295124/","",
"千与千寻 / 千と千尋の神隠し","","2021-07-04","https://movie.douban.com/subject/1291561/","",
"这个杀手不太冷 / Léon","","2021-07-04","https://movie.douban.com/subject/1295644/","",
"阿甘正传 / Forrest Gump","","2021-07-04","https://movie.douban.com/subject/1292720/","",
"肖申克的救赎 / The Shawshank Redemption","","2021-07-04","https://movie.douban.com/subject/1292052/","",
"釜山行 / 부산행","4","2021-07-21","https://movie.douban.com/subject/25986180/","",
"模仿游戏 / The Imitation Game","4","2021-07-21","https://movie.douban.com/subject/10463953/","",
"冰川时代 / Ice Age","","2021-07-21","https://movie.douban.com/subject/1291578/","",
"请以你的名字呼唤我 / Call Me by Your Name","","2021-07-21","https://movie.douban.com/subject/26799731/","",
"复仇者联盟 / The Avengers","3","2023-02-25","https://movie.douban.com/subject/1866479/","",
"犯罪都市2 / 범죄도시2","4","2023-02-25","https://movie.douban.com/subject/30267287/","",
"天鹅挽歌 / Swan Song","3","2023-02-25","https://movie.douban.com/subject/35258381/","",
"不要抬头 / Don't Look Up","3","2023-02-25","https://movie.douban.com/subject/34884712/","",
